"","sampleId.x","taxonomyId","scientificName.x","levelId.x","levelName.x","splitCount.x","sampleId.y","scientificName.y","levelId.y","levelName.y","splitCount.y","sampleId","scientificName","attributeId","attributeName","attributeValue"
"1",115217,58,"Trombidiformes",13,"Order",3,115217,"Acari",10,"SubClass",3,115217,"Trombidiformes",3,"FFG","PR"
"2",115217,121,"Elmidae",19,"Family",2,NA,NA,NA,NA,NA,115217,"Elmidae",3,"FFG","CG"
"3",115217,142,"Rhizelmis nigra",25,"Species",19,115217,"Rhizelmis",23,"Genus",19,115217,"Rhizelmis nigra",3,"FFG","UN"
"4",115217,144,"Zaitzevia",23,"Genus",3,115217,"Zaitzevia",23,"Genus",3,115217,"Zaitzevia",3,"FFG","UN"
"5",115217,200,"Empididae",19,"Family",12,NA,NA,NA,NA,NA,115217,"Empididae",3,"FFG","PR"
"6",115217,201,"Chelifera",23,"Genus",1,115217,"Chelifera_Metachela_Neoplasta",23,"Genus",1,115217,"Chelifera",3,"FFG","PR"
"7",115217,202,"Clinocera",23,"Genus",2,115217,"Clinocera",23,"Genus",2,115217,"Clinocera",3,"FFG","PR"
"8",115217,204,"Oreogeton",23,"Genus",1,115217,"Oreogeton",23,"Genus",1,115217,"Oreogeton",3,"FFG","PR"
"9",115217,206,"Wiedemannia",23,"Genus",1,115217,"Wiedemannia",23,"Genus",1,115217,"Wiedemannia",3,"FFG","PR"
"10",115217,223,"Simulium",23,"Genus",1,115217,"Simuliidae",19,"Family",1,115217,"Simulium",3,"FFG","CF"
"11",115217,234,"Tipulidae",19,"Family",4,NA,NA,NA,NA,NA,115217,"Tipulidae",3,"FFG","SH"
"12",115217,235,"Antocha",23,"Genus",1,115217,"Antocha",23,"Genus",1,115217,"Antocha",3,"FFG","CG"
"13",115217,241,"Hexatoma",23,"Genus",1,115217,"Hexatoma",23,"Genus",1,115217,"Hexatoma",3,"FFG","PR"
"14",115217,248,"Ephemeroptera",13,"Order",1,NA,NA,NA,NA,NA,115217,"Ephemeroptera",3,"FFG","UN"
"15",115217,250,"Baetis",23,"Genus",21,115217,"Baetis",23,"Genus",21,115217,"Baetis",3,"FFG","CG"
"16",115217,262,"Ephemerellidae",19,"Family",14,NA,NA,NA,NA,NA,115217,"Ephemerellidae",3,"FFG","CG"
"17",115217,266,"Drunella",23,"Genus",1,NA,NA,NA,NA,NA,115217,"Drunella",3,"FFG","SC"
"18",115217,267,"Drunella doddsii",25,"Species",36,115217,"Drunella_doddsii",25,"Species",36,115217,"Drunella doddsii",3,"FFG","SC"
"19",115217,276,"Heptageniidae",19,"Family",11,NA,NA,NA,NA,NA,115217,"Heptageniidae",3,"FFG","SC"
"20",115217,280,"Epeorus",23,"Genus",25,115217,"Epeorus",23,"Genus",25,115217,"Epeorus",3,"FFG","CG"
"21",115217,285,"Rhithrogena",23,"Genus",23,115217,"Rhithrogena",23,"Genus",23,115217,"Rhithrogena",3,"FFG","CG"
"22",115217,287,"Leptophlebiidae",19,"Family",7,NA,NA,NA,NA,NA,115217,"Leptophlebiidae",3,"FFG","CG"
"23",115217,355,"Corydalidae",19,"Family",2,NA,NA,NA,NA,NA,115217,"Corydalidae",3,"FFG","PR"
"24",115217,403,"Plecoptera",13,"Order",2,NA,NA,NA,NA,NA,115217,"Plecoptera",3,"FFG","UN"
"25",115217,412,"Chloroperlidae",19,"Family",4,115217,"Chloroperlidae",19,"Family",4,115217,"Chloroperlidae",3,"FFG","PR"
"26",115217,429,"Nemouridae",19,"Family",4,NA,NA,NA,NA,NA,115217,"Nemouridae",3,"FFG","SH"
"27",115217,431,"Malenka",23,"Genus",2,115217,"Malenka",23,"Genus",2,115217,"Malenka",3,"FFG","UN"
"28",115217,438,"Visoka",23,"Genus",7,115217,"Visoka",23,"Genus",7,115217,"Visoka",3,"FFG","UN"
"29",115217,444,"Perlidae",19,"Family",5,NA,NA,NA,NA,NA,115217,"Perlidae",3,"FFG","PR"
"30",115217,450,"Doroneuria",23,"Genus",1,115217,"Doroneuria",23,"Genus",1,115217,"Doroneuria",3,"FFG","UN"
"31",115217,473,"Pteronarcys",23,"Genus",1,115217,"Pteronarcys",23,"Genus",1,115217,"Pteronarcys",3,"FFG","SH"
"32",115217,480,"Trichoptera",13,"Order",2,NA,NA,NA,NA,NA,115217,"Trichoptera",3,"FFG","UN"
"33",115217,484,"Micrasema",23,"Genus",5,115217,"Micrasema",23,"Genus",5,115217,"Micrasema",3,"FFG","SH"
"34",115217,495,"Hydropsychidae",19,"Family",1,NA,NA,NA,NA,NA,115217,"Hydropsychidae",3,"FFG","CF"
"35",115217,499,"Hydropsyche",23,"Genus",20,115217,"Hydropsyche",23,"Genus",20,115217,"Hydropsyche",3,"FFG","CF"
"36",115217,502,"Parapsyche",23,"Genus",3,115217,"Parapsyche",23,"Genus",3,115217,"Parapsyche",3,"FFG","CF"
"37",115217,519,"Lepidostoma",23,"Genus",3,115217,"Lepidostoma",23,"Genus",3,115217,"Lepidostoma",3,"FFG","SH"
"38",115217,573,"Polycentropodidae",19,"Family",1,115217,"Other_Polycentropodidae",19,"Family",1,115217,"Polycentropodidae",3,"FFG","CF"
"39",115217,578,"Polycentropus",23,"Genus",1,115217,"Polycentropus",23,"Genus",1,115217,"Polycentropus",3,"FFG","PR"
"40",115217,584,"Rhyacophila",23,"Genus",1,NA,NA,NA,NA,NA,115217,"Rhyacophila",3,"FFG","PR"
"41",115217,587,"Gumaga",23,"Genus",1,115217,"Gumaga",23,"Genus",1,115217,"Gumaga",3,"FFG","SH"
"42",115217,652,"Nematoda",5,"Phylum",1,115217,"Nemata",5,"Phylum",1,115217,"Nematoda",3,"FFG","UN"
"43",115217,655,"Xenacoelomorpha",9,"Class",7,115217,"Turbellaria",9,"Class",7,115217,"Xenacoelomorpha",3,"FFG","CG"
"44",115217,834,"Diphetor hageni",25,"Species",2,115217,"Diphetor",23,"Genus",2,115217,"Diphetor hageni",3,"FFG","CG"
"45",115217,837,"Calineuria californica",25,"Species",23,115217,"Calineuria",23,"Genus",23,115217,"Calineuria californica",3,"FFG","PR"
"46",115217,1017,"Oroperla barbara",25,"Species",1,115217,"Oroperla",23,"Genus",1,115217,"Oroperla barbara",3,"FFG","PR"
"47",115217,1071,"Caudatella heterocaudata",25,"Species",2,115217,"Caudatella",23,"Genus",2,115217,"Caudatella heterocaudata",3,"FFG","CG"
"48",115217,1096,"Micropsectra/Tanytarsus",21,"Tribe",12,115217,"Chironominae",20,"SubFamily",12,115217,"Micropsectra/Tanytarsus",3,"FFG","CG"
"49",115217,1105,"Rheotanytarsus",23,"Genus",24,115217,"Chironominae",20,"SubFamily",24,115217,"Rheotanytarsus",3,"FFG","CF"
"50",115217,1111,"Diamesa",23,"Genus",2,115217,"Diamesinae",20,"SubFamily",2,115217,"Diamesa",3,"FFG","CG"
"51",115217,1117,"Brillia",23,"Genus",1,115217,"Orthocladiinae",20,"SubFamily",1,115217,"Brillia",3,"FFG","CG"
"52",115217,1153,"Parorthocladius",23,"Genus",1,115217,"Orthocladiinae",20,"SubFamily",1,115217,"Parorthocladius",3,"FFG","CG"
"53",115217,1176,"Thienemannimyia group",23,"Genus",1,115217,"Tanypodinae",20,"SubFamily",1,115217,"Thienemannimyia group",3,"FFG","PR"
"54",115217,1180,"Drunella coloradensis/flavilinea",25,"Species",14,115217,"Drunella_coloradensis_flavilinea",25,"Species",14,115217,"Drunella coloradensis/flavilinea",3,"FFG","SC"
"55",115217,1186,"Orohermes crepusculus",25,"Species",2,115217,"Orohermes",23,"Genus",2,115217,"Orohermes crepusculus",3,"FFG","PR"
"56",115217,1199,"Amiocentrus aspilus",25,"Species",2,115217,"Amiocentrus",23,"Genus",2,115217,"Amiocentrus aspilus",3,"FFG","CG"
"57",115217,1201,"Allocosmoecus partitus",25,"Species",1,115217,"Allocosmoecus",23,"Genus",1,115217,"Allocosmoecus partitus",3,"FFG","SC"
"58",115217,1297,"Microtendipes",23,"Genus",3,115217,"Chironominae",20,"SubFamily",3,115217,"Microtendipes",3,"FFG","CF"
"59",115217,1301,"Polypedilum",23,"Genus",2,115217,"Chironominae",20,"SubFamily",2,115217,"Polypedilum",3,"FFG","SH"
"60",115217,1667,"Rhyacophila brunnea group",25,"Species",1,NA,NA,NA,NA,NA,115217,"Rhyacophila brunnea group",3,"FFG","PR"
"61",115217,1668,"Rhyacophila betteni group",25,"Species",14,115217,"Rhyacophila_betteni_group",25,"Species",14,115217,"Rhyacophila betteni group",3,"FFG","PR"
"62",115217,1669,"Cricotopus/Orthocladius",21,"Tribe",1,115217,"Orthocladiinae",20,"SubFamily",1,115217,"Cricotopus/Orthocladius",3,"FFG","CG"
"63",115217,1670,"Eukiefferiella",23,"Genus",34,115217,"Orthocladiinae",20,"SubFamily",34,115217,"Eukiefferiella",3,"FFG","CG"
"64",115217,1672,"Micropsectra",23,"Genus",44,115217,"Chironominae",20,"SubFamily",44,115217,"Micropsectra",3,"FFG","CG"
"65",115217,1674,"Tvetenia",23,"Genus",17,115217,"Orthocladiinae",20,"SubFamily",17,115217,"Tvetenia",3,"FFG","CG"
"66",115217,1675,"Chironomini",21,"Tribe",1,115217,"Chironominae",20,"SubFamily",1,NA,NA,NA,NA,NA
"67",115217,1708,"Rhyacophila hyalinata group",25,"Species",4,115217,"Rhyacophila_hyalinata_group",25,"Species",4,NA,NA,NA,NA,NA
